movieId,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31
1,0.0,0.0,0.0,0.01502319,0.0,0.3200005,0.06366814,0.20730172,0.0,0.15172152,0.060542773,0.11485731,0.34336185,0.0,0.034087535,0.12668763,0.27329135,0.0,0.37663952,0.33957553,0.09447138,0.0,0.007393741,0.3365408,0.19136919,0.0,0.21357238,0.04400063,0.026229514,0.18550907,0.21420616,0.2368684
3,0.0,0.0,0.0,0.2106453,0.0,0.1525588,0.14887804,0.034177583,0.0,0.08409475,0.13021563,0.0,0.0,0.0,0.047236178,0.3482557,0.0,0.0,0.65086293,0.12461564,0.0,0.0,0.16102798,0.4812337,0.0,0.0,0.0,0.0,0.19749433,0.024438445,0.15878157,0.0
6,0.0,0.0,0.0,0.0,0.0,0.12233623,0.0,0.32363194,0.0,0.04375402,0.24320991,0.18187746,0.16591582,0.2196126,0.15916698,0.32210022,0.25199744,0.0,0.30344272,0.19933292,0.22438139,0.13239114,0.0,0.11330722,0.2624994,0.0,0.14168645,0.13036132,0.27819443,0.203778,0.24925041,0.13515052
47,0.0,0.0,0.0,0.0,0.0,0.2303243,0.0,0.1774229,0.0,0.26112324,0.28454107,0.0790004,0.20473258,0.16487134,0.2560112,0.22054161,0.24839656,0.0,0.23422554,0.335851,0.28103355,0.0,0.0,0.22309074,0.16027145,0.0,0.12205959,0.24592014,0.20929857,0.17974105,0.13117464,0.15593
50,0.0,0.0,0.0,0.0,0.0,0.29638442,0.0,0.067982286,0.0,0.21133375,0.12962364,0.30216995,0.32414126,0.16484752,0.13909152,0.09377494,0.18733695,0.0,0.21707135,0.33804253,0.19038735,0.20926945,0.0,0.27801418,0.12958576,0.0,0.30281878,0.14384936,0.014354251,0.082001895,0.07242211,0.31496143
70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48748064,0.33760428,0.0,0.0,0.15767832,0.35438958,0.0,0.19336852,0.0,0.0,0.0,0.14153858,0.0,0.0,0.0,0.0,0.0,0.0,0.44640562,0.23347607,0.40847275,0.13938174,0.020991717
101,0.0,0.0,0.0,0.0810691,0.0,0.2543276,0.067737155,0.31474128,0.0,0.0,0.018953584,0.2765967,0.27797556,0.0,0.0,0.3550078,0.09982227,0.0,0.47422254,0.20457184,0.0,0.11743431,0.065848514,0.2596058,0.1882165,0.0,0.2341122,0.0,0.021552037,0.0,0.024897587,0.30230373
110,0.0,0.0,0.0,0.0,0.0,0.2836563,0.0,0.118377775,0.0,0.36119932,0.12027974,0.1202774,0.32647717,0.0,0.25006273,0.0,0.27171487,0.0,0.1653374,0.37659273,0.15106416,0.0,0.0,0.2765876,0.18265094,0.0,0.23434359,0.27017686,0.0,0.020069433,0.0,0.27022794
151,0.0,0.0,0.0,0.0662678,0.0,0.19210982,0.10298821,0.112768404,0.0,0.0150443055,0.0,0.0,0.26732582,0.0,0.0,0.0,0.19449702,0.0,0.46188143,0.058651533,0.0,0.0,0.044315327,0.36685464,0.10770322,0.0,0.13091287,0.0,0.058911715,0.44989955,0.46965772,0.13169372
157,0.0,0.0,0.0,0.013285559,0.0,0.0,0.0,0.38342345,0.0,0.23062766,0.06342983,0.0,0.0,0.0,0.45611408,0.16122909,0.42411688,0.0,0.1434615,0.09868872,0.0,0.0,0.0,0.0077878186,0.49396563,0.0,0.0,0.32757288,0.0,0.0,0.0,0.0
